pi.vec,procedure,FDR,n,bound,power
0.01,Bonferroni,0.029423744297369298,50,1,0.26689253658248263
0.01,LORD,0.017721422103993825,50,1,0.22333088465013384
0.01,ADDIS,0.02084233305217181,50,1,0.2132904879982457
0.01,LORD2.plus,0.018583574249682475,50,1,0.22568309817530882
0.01,SAFFRON,0.04372759546920766,50,1,0.20042332960669287
0.01,LOND,0.030659143296592428,50,1,0.2686918965473567
0.02,Bonferroni,0.026436586573813366,50,1,0.2670827851220684
0.02,LORD,0.016808096278105346,50,1,0.22361867543207997
0.02,ADDIS,0.020324606171266614,50,1,0.2166994475685808
0.02,LORD2.plus,0.018563436669532918,50,1,0.2279787450660986
0.02,SAFFRON,0.04431256074101896,50,1,0.20258126559012737
0.02,LOND,0.02872171645213224,50,1,0.2702019766931896
0.03,Bonferroni,0.025168722436275454,50,1,0.2661512963657587
0.03,LORD,0.01532459260115385,50,1,0.222455694409333
0.03,ADDIS,0.021024640060307655,50,1,0.2200375217123787
0.03,LORD2.plus,0.017883419880152285,50,1,0.22848007793577682
0.03,SAFFRON,0.0430141361839664,50,1,0.204576683381674
0.03,LOND,0.02842917285781582,50,1,0.2703472322993376
0.04,Bonferroni,0.023817575140219257,50,1,0.26925518587210784
0.04,LORD,0.015533790073362913,50,1,0.22488830763154474
0.04,ADDIS,0.02029310795166454,50,1,0.2216693960426599
0.04,LORD2.plus,0.018728982296388554,50,1,0.23326843603658376
0.04,SAFFRON,0.04325465667952341,50,1,0.20794025320077772
0.04,LOND,0.02799059062698923,50,1,0.27509027735174685
0.05,Bonferroni,0.02177638800273514,50,1,0.2687767654344651
0.05,LORD,0.0148185831644486,50,1,0.22465277460157337
0.05,ADDIS,0.02060016533053004,50,1,0.2254290953430314
0.05,LORD2.plus,0.01863763948596523,50,1,0.23512418681545172
0.05,SAFFRON,0.04296532214972487,50,1,0.21063133468651293
0.05,LOND,0.026825121095348806,50,1,0.27621852627744825
0.060000000000000005,Bonferroni,0.020475614623802124,50,1,0.2673985649933137
0.060000000000000005,LORD,0.014488221171157873,50,1,0.2239382340648014
0.060000000000000005,ADDIS,0.021177840944724136,50,1,0.22625428636541844
0.060000000000000005,LORD2.plus,0.01894115433107151,50,1,0.23607374159407404
0.060000000000000005,SAFFRON,0.043242727263008464,50,1,0.21327582196449202
0.060000000000000005,LOND,0.02614792435031311,50,1,0.2761018149201267
0.06999999999999999,Bonferroni,0.018823703884307985,50,1,0.26775078081757864
0.06999999999999999,LORD,0.013608199506488953,50,1,0.22473484479296338
0.06999999999999999,ADDIS,0.0202142060884941,50,1,0.22919628048969834
0.06999999999999999,LORD2.plus,0.018482496081909876,50,1,0.23907305624412845
0.06999999999999999,SAFFRON,0.04292313385931613,50,1,0.21580040891674013
0.06999999999999999,LOND,0.02514661107689234,50,1,0.2781665063387501
0.08,Bonferroni,0.018089806993645863,50,1,0.2675083961878239
0.08,LORD,0.013499325163877567,50,1,0.2253193946941852
0.08,ADDIS,0.020675397331154467,50,1,0.23405902001722514
0.08,LORD2.plus,0.018926876182936602,50,1,0.24143620386003306
0.08,SAFFRON,0.043443152739408485,50,1,0.21851251704690264
0.08,LOND,0.025076746215987832,50,1,0.2795099711452808
0.09,Bonferroni,0.016787085024044582,50,1,0.2675134238106528
0.09,LORD,0.012930974079234183,50,1,0.22613357336824563
0.09,ADDIS,0.021386056144953185,50,1,0.2359792105785291
0.09,LORD2.plus,0.01898644248280433,50,1,0.2442140562349555
0.09,SAFFRON,0.043599178675117575,50,1,0.22221713903426932
0.09,LOND,0.024289499185932328,50,1,0.28128726440296986
0.1,Bonferroni,0.015906306082063226,50,1,0.2681474266711123
0.1,LORD,0.012564590126600715,50,1,0.22791795582035726
0.1,ADDIS,0.02102033137333572,50,1,0.23868634989995482
0.1,LORD2.plus,0.018991959476470782,50,1,0.24763350779611237
0.1,SAFFRON,0.04350143508784519,50,1,0.22560786046195166
0.1,LOND,0.023800198177134343,50,1,0.28355879510342663
0.15000000000000002,Bonferroni,0.011865425630655893,50,1,0.26807715514352165
